2024/09/09 10:09:24.175047 main.go:69: [MongoDB] Retrieved author with ID: e4a488d7-82fb-4ecc-a46e-6961e71f6986
2024/09/09 10:09:24.176118 main.go:69: [MongoDB] Retrieved author with ID: f08af1bc-09f0-4933-81e6-ffb5723ea1f4
2024/09/09 10:09:24.176951 main.go:69: [MongoDB] Retrieved author with ID: 56c7a99e-ae63-4c11-895a-6f99afd369a0
2024/09/09 10:09:24.177713 main.go:69: [MongoDB] Retrieved author with ID: 5ccde8f0-44eb-4689-a6c1-6578aaffd623
2024/09/09 10:09:24.178527 main.go:69: [MongoDB] Retrieved author with ID: 001633db-ae1b-4c76-ab82-d56173b1a0ce
2024/09/09 10:09:24.179546 main.go:69: [MongoDB] Retrieved author with ID: a0cece9f-1271-43e2-a784-5012d4696024
2024/09/09 10:09:24.180544 main.go:69: [MongoDB] Retrieved author with ID: 0e265418-6810-41cf-b629-6c32f2790a55
2024/09/09 10:09:24.181397 main.go:69: [MongoDB] Retrieved author with ID: 94a4e65d-fdfa-457d-85f1-f8eedf6e9acc
2024/09/09 10:09:24.182098 main.go:69: [MongoDB] Retrieved author with ID: 1989e2ea-f06d-47d6-a0ff-40ff9b839ea7
2024/09/09 10:09:24.182964 main.go:69: [MongoDB] Retrieved author with ID: 6a9acaa2-2170-415d-a4ad-4aedfc369978
2024/09/09 10:09:24.183892 main.go:69: [MongoDB] Retrieved author with ID: 698e4109-0c3d-4203-8452-edf80e91bb5a
2024/09/09 10:09:24.184910 main.go:69: [MongoDB] Retrieved author with ID: a7179ea1-6a26-48c4-8894-5dc78a7619f9
2024/09/09 10:09:24.186024 main.go:69: [MongoDB] Retrieved author with ID: 31341472-fa56-42c3-a396-b99fcbf851bd
2024/09/09 10:09:24.187004 main.go:69: [MongoDB] Retrieved author with ID: 3d30ea31-ae14-4962-bd78-32cc93cfa99b
2024/09/09 10:09:24.187856 main.go:69: [MongoDB] Retrieved author with ID: 987f9fd8-2822-4c41-b0b8-64951447b317
2024/09/09 10:09:24.188699 main.go:69: [MongoDB] Retrieved author with ID: 01e7c3d3-febf-4436-84ae-c9f52dfb9a4e
2024/09/09 10:09:24.189613 main.go:69: [MongoDB] Retrieved author with ID: 60bbd20c-049b-4920-a509-40747db87a6b
2024/09/09 10:09:24.190798 main.go:69: [MongoDB] Retrieved author with ID: ae402cda-b175-44ba-9210-ea2a78cc523c
2024/09/09 10:09:24.191903 main.go:69: [MongoDB] Retrieved author with ID: fc8a369b-24d2-48eb-90e3-dc4d29621ade
2024/09/09 10:09:24.192812 main.go:69: [MongoDB] Retrieved author with ID: 5c70987e-5270-473e-bf05-d78d6532a765
2024/09/09 10:09:24.193589 main.go:69: [MongoDB] Retrieved author with ID: f0d8f926-5679-4019-af7f-9b19dc67a160
2024/09/09 10:09:24.194446 main.go:69: [MongoDB] Retrieved author with ID: 1df1aeb0-1280-4a58-a642-2de24126fadb
2024/09/09 10:09:24.195226 main.go:69: [MongoDB] Retrieved author with ID: e6bff0e4-75df-49a2-b4d6-8690e6abb6c7
2024/09/09 10:09:24.195899 main.go:69: [MongoDB] Retrieved author with ID: 31fe5d2e-1ccb-479a-97b9-bf920db8e2dc
2024/09/09 10:09:24.196746 main.go:69: [MongoDB] Retrieved author with ID: d0c02b3e-2df9-44d5-b1cc-c737d1d60114
2024/09/09 10:09:24.197763 main.go:69: [MongoDB] Retrieved author with ID: 1e5db2c8-9720-4421-baa6-2802d15e5f76
2024/09/09 10:09:24.198623 main.go:69: [MongoDB] Retrieved author with ID: 738b0c25-019d-49c4-a1ce-775b9b8af0dc
2024/09/09 10:09:24.199397 main.go:69: [MongoDB] Retrieved author with ID: 0ae90919-e1f9-49e2-8604-285f1d3ef932
2024/09/09 10:09:24.200204 main.go:69: [MongoDB] Retrieved author with ID: 274295ba-d840-48c6-ac89-c850597bbe82
2024/09/09 10:09:24.200979 main.go:69: [MongoDB] Retrieved author with ID: 35ba6d75-d227-4743-854d-67f8e19231c1
2024/09/09 10:09:24.201867 main.go:69: [MongoDB] Retrieved author with ID: 70059c5d-c5a2-47e5-b977-52f0a9d17326
2024/09/09 10:09:24.203013 main.go:69: [MongoDB] Retrieved author with ID: 5136134e-3f4b-4d51-87a3-61b275ae636c
2024/09/09 10:09:24.204010 main.go:69: [MongoDB] Retrieved author with ID: ddbd6cab-47d8-4cde-b562-31f407fb983a
2024/09/09 10:09:24.204816 main.go:69: [MongoDB] Retrieved author with ID: 4d74c41b-ae46-4432-95d9-78c5da26753a
2024/09/09 10:09:24.205651 main.go:69: [MongoDB] Retrieved author with ID: 6ee18f92-0dac-443f-bb5f-dc78a6c7bdc3
2024/09/09 10:09:24.207003 main.go:69: [MongoDB] Retrieved author with ID: cab6a021-34e9-4502-929f-a9b5e1229b20
